text,entity_type,entity_value
John works at Meta in London since 1971-12-06,GPE,London
London will host the event in 2021-04-01,GPE,London
Microsoft announced new projects starting 2002-12-24,ORG,Microsoft
Alex works at Google in New York since 2012-08-21,PERSON,Alex
Alex works at Google in New York since 2012-08-21,ORG,Google
Tokyo will host the event in 1996-02-14,GPE,Tokyo
Paris will host the event in 2003-04-05,GPE,Paris
The meeting with Alex from Microsoft is scheduled for 2014-03-07,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2014-03-07,ORG,Microsoft
Sara works at Amazon in Paris since 1977-04-13,PERSON,Sara
Sara works at Amazon in Paris since 1977-04-13,ORG,Amazon
Sara works at Amazon in Paris since 1977-04-13,GPE,Paris
Google announced new projects starting 1981-12-21,ORG,Google
The meeting with Mary from Meta is scheduled for 2016-03-06,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2016-03-06,ORG,Meta
Mary works at Amazon in Paris since 1976-12-09,PERSON,Mary
Mary works at Amazon in Paris since 1976-12-09,ORG,Amazon
Mary works at Amazon in Paris since 1976-12-09,GPE,Paris
Sara attended a conference on 2018-09-04,PERSON,Sara
London will host the event in 1987-04-19,GPE,London
Mary attended a conference on 2006-08-02,PERSON,Mary
Alex attended a conference on 2020-03-04,PERSON,Alex
Alex attended a conference on 1971-09-18,PERSON,Alex
Meta announced new projects starting 2000-09-19,ORG,Meta
Alex works at Amazon in Paris since 2014-02-26,PERSON,Alex
Alex works at Amazon in Paris since 2014-02-26,ORG,Amazon
Alex works at Amazon in Paris since 2014-02-26,GPE,Paris
Meta announced new projects starting 1999-05-10,ORG,Meta
Paris will host the event in 1993-12-02,GPE,Paris
Paris will host the event in 1999-09-30,GPE,Paris
Amazon announced new projects starting 2000-02-26,ORG,Amazon
Mary works at Google in Tokyo since 2021-10-19,PERSON,Mary
Mary works at Google in Tokyo since 2021-10-19,ORG,Google
Mary works at Google in Tokyo since 2021-10-19,GPE,Tokyo
Paris will host the event in 2010-12-26,GPE,Paris
Sara works at Microsoft in New York since 2021-10-07,PERSON,Sara
Sara works at Microsoft in New York since 2021-10-07,ORG,Microsoft
The meeting with John from Google is scheduled for 1999-10-03,PERSON,John
The meeting with John from Google is scheduled for 1999-10-03,ORG,Google
Mary works at Meta in Tokyo since 1985-10-04,PERSON,Mary
Mary works at Meta in Tokyo since 1985-10-04,ORG,Meta
Mary works at Meta in Tokyo since 1985-10-04,GPE,Tokyo
London will host the event in 2003-03-04,GPE,London
Mary works at Google in New York since 1996-08-13,PERSON,Mary
Mary works at Google in New York since 1996-08-13,ORG,Google
Amazon announced new projects starting 2008-09-24,ORG,Amazon
Microsoft announced new projects starting 1984-05-23,ORG,Microsoft
The meeting with John from Google is scheduled for 2024-05-02,PERSON,John
The meeting with John from Google is scheduled for 2024-05-02,ORG,Google
Sara attended a conference on 1990-07-12,PERSON,Sara
London will host the event in 1974-08-06,GPE,London
London will host the event in 1981-05-24,GPE,London
The meeting with John from Amazon is scheduled for 2017-11-26,PERSON,John
The meeting with John from Amazon is scheduled for 2017-11-26,ORG,Amazon
Tokyo will host the event in 2013-09-27,GPE,Tokyo
The meeting with John from Amazon is scheduled for 2000-11-09,PERSON,John
The meeting with John from Amazon is scheduled for 2000-11-09,ORG,Amazon
The meeting with Mary from Microsoft is scheduled for 1976-11-15,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1976-11-15,ORG,Microsoft
Google announced new projects starting 2011-04-28,ORG,Google
Microsoft announced new projects starting 1983-11-09,ORG,Microsoft
The meeting with Mary from Amazon is scheduled for 2002-01-26,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2002-01-26,ORG,Amazon
John works at Microsoft in Paris since 1991-08-09,PERSON,John
John works at Microsoft in Paris since 1991-08-09,ORG,Microsoft
John works at Microsoft in Paris since 1991-08-09,GPE,Paris
Google announced new projects starting 1989-12-10,ORG,Google
Amazon announced new projects starting 1976-06-14,ORG,Amazon
Paris will host the event in 1995-01-21,GPE,Paris
John attended a conference on 2015-01-28,PERSON,John
Amazon announced new projects starting 1992-06-27,ORG,Amazon
Sara attended a conference on 1972-06-03,PERSON,Sara
Tokyo will host the event in 2019-07-22,GPE,Tokyo
Alex attended a conference on 1997-05-16,PERSON,Alex
John works at Amazon in Paris since 1979-06-03,PERSON,John
John works at Amazon in Paris since 1979-06-03,ORG,Amazon
John works at Amazon in Paris since 1979-06-03,GPE,Paris
Alex attended a conference on 1996-10-06,PERSON,Alex
Alex attended a conference on 1997-01-31,PERSON,Alex
The meeting with Sara from Microsoft is scheduled for 2016-09-04,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2016-09-04,ORG,Microsoft
Sara attended a conference on 1998-11-16,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2004-12-01,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2004-12-01,ORG,Amazon
Amazon announced new projects starting 2005-05-18,ORG,Amazon
Amazon announced new projects starting 2013-03-03,ORG,Amazon
Sara attended a conference on 1974-04-23,PERSON,Sara
Google announced new projects starting 1972-06-02,ORG,Google
Sara works at Google in Paris since 1984-11-19,PERSON,Sara
Sara works at Google in Paris since 1984-11-19,ORG,Google
Sara works at Google in Paris since 1984-11-19,GPE,Paris
Mary attended a conference on 1973-10-31,PERSON,Mary
Mary works at Google in Tokyo since 1994-06-20,PERSON,Mary
Mary works at Google in Tokyo since 1994-06-20,ORG,Google
Mary works at Google in Tokyo since 1994-06-20,GPE,Tokyo
John attended a conference on 2019-10-29,PERSON,John
The meeting with John from Amazon is scheduled for 2000-03-06,PERSON,John
The meeting with John from Amazon is scheduled for 2000-03-06,ORG,Amazon
The meeting with Sara from Google is scheduled for 1983-06-26,PERSON,Sara
The meeting with Sara from Google is scheduled for 1983-06-26,ORG,Google
Sara works at Amazon in New York since 2004-01-04,PERSON,Sara
Sara works at Amazon in New York since 2004-01-04,ORG,Amazon
The meeting with Mary from Microsoft is scheduled for 2005-09-10,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2005-09-10,ORG,Microsoft
Sara attended a conference on 2010-10-28,PERSON,Sara
The meeting with Sara from Google is scheduled for 2001-07-19,PERSON,Sara
The meeting with Sara from Google is scheduled for 2001-07-19,ORG,Google
London will host the event in 1985-10-28,GPE,London
London will host the event in 2011-06-07,GPE,London
Alex works at Google in Paris since 1983-10-15,PERSON,Alex
Alex works at Google in Paris since 1983-10-15,ORG,Google
Alex works at Google in Paris since 1983-10-15,GPE,Paris
Mary attended a conference on 2024-01-04,PERSON,Mary
John works at Microsoft in Paris since 2006-05-08,PERSON,John
John works at Microsoft in Paris since 2006-05-08,ORG,Microsoft
John works at Microsoft in Paris since 2006-05-08,GPE,Paris
The meeting with Mary from Meta is scheduled for 1975-07-28,PERSON,Mary
The meeting with Mary from Meta is scheduled for 1975-07-28,ORG,Meta
Mary works at Amazon in New York since 1993-04-11,PERSON,Mary
Mary works at Amazon in New York since 1993-04-11,ORG,Amazon
John works at Microsoft in Paris since 2001-02-25,PERSON,John
John works at Microsoft in Paris since 2001-02-25,ORG,Microsoft
John works at Microsoft in Paris since 2001-02-25,GPE,Paris
Amazon announced new projects starting 1994-07-19,ORG,Amazon
Microsoft announced new projects starting 2016-10-12,ORG,Microsoft
Amazon announced new projects starting 2014-03-22,ORG,Amazon
London will host the event in 2003-11-23,GPE,London
The meeting with Alex from Google is scheduled for 1975-05-15,PERSON,Alex
The meeting with Alex from Google is scheduled for 1975-05-15,ORG,Google
Sara works at Meta in Tokyo since 1979-10-24,PERSON,Sara
Sara works at Meta in Tokyo since 1979-10-24,ORG,Meta
Sara works at Meta in Tokyo since 1979-10-24,GPE,Tokyo
The meeting with Mary from Meta is scheduled for 1983-06-14,PERSON,Mary
The meeting with Mary from Meta is scheduled for 1983-06-14,ORG,Meta
Alex works at Meta in Paris since 2014-09-22,PERSON,Alex
Alex works at Meta in Paris since 2014-09-22,ORG,Meta
Alex works at Meta in Paris since 2014-09-22,GPE,Paris
Mary attended a conference on 1970-08-27,PERSON,Mary
The meeting with Mary from Google is scheduled for 2014-07-11,PERSON,Mary
The meeting with Mary from Google is scheduled for 2014-07-11,ORG,Google
The meeting with Sara from Amazon is scheduled for 1995-04-01,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 1995-04-01,ORG,Amazon
The meeting with Sara from Amazon is scheduled for 1990-10-09,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 1990-10-09,ORG,Amazon
Mary works at Microsoft in New York since 1979-02-18,PERSON,Mary
Mary works at Microsoft in New York since 1979-02-18,ORG,Microsoft
Amazon announced new projects starting 2016-12-25,ORG,Amazon
The meeting with Alex from Microsoft is scheduled for 1992-03-31,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1992-03-31,ORG,Microsoft
Google announced new projects starting 2005-08-26,ORG,Google
London will host the event in 2024-07-02,GPE,London
The meeting with Alex from Google is scheduled for 1998-04-15,PERSON,Alex
The meeting with Alex from Google is scheduled for 1998-04-15,ORG,Google
Google announced new projects starting 1996-12-30,ORG,Google
Alex works at Meta in London since 2022-11-23,PERSON,Alex
Alex works at Meta in London since 2022-11-23,ORG,Meta
Alex works at Meta in London since 2022-11-23,GPE,London
Meta announced new projects starting 2019-02-28,ORG,Meta
Google announced new projects starting 1988-04-09,ORG,Google
The meeting with John from Meta is scheduled for 1997-01-15,PERSON,John
The meeting with John from Meta is scheduled for 1997-01-15,ORG,Meta
London will host the event in 1994-03-01,GPE,London
Meta announced new projects starting 2013-12-16,ORG,Meta
The meeting with Alex from Meta is scheduled for 2008-11-11,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2008-11-11,ORG,Meta
London will host the event in 2009-11-06,GPE,London
Alex attended a conference on 1985-02-03,PERSON,Alex
Meta announced new projects starting 2024-07-25,ORG,Meta
The meeting with Mary from Microsoft is scheduled for 1994-12-15,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1994-12-15,ORG,Microsoft
London will host the event in 2011-04-29,GPE,London
Paris will host the event in 2020-06-14,GPE,Paris
The meeting with Alex from Microsoft is scheduled for 1975-04-17,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1975-04-17,ORG,Microsoft
The meeting with Alex from Google is scheduled for 1976-04-29,PERSON,Alex
The meeting with Alex from Google is scheduled for 1976-04-29,ORG,Google
Mary attended a conference on 2010-04-03,PERSON,Mary
Sara attended a conference on 1982-03-15,PERSON,Sara
Meta announced new projects starting 1974-05-08,ORG,Meta
Google announced new projects starting 1970-07-09,ORG,Google
Meta announced new projects starting 1984-01-08,ORG,Meta
Paris will host the event in 1983-04-26,GPE,Paris
Google announced new projects starting 1988-05-04,ORG,Google
Sara works at Meta in New York since 2005-01-11,PERSON,Sara
Sara works at Meta in New York since 2005-01-11,ORG,Meta
Mary works at Meta in Tokyo since 1989-04-17,PERSON,Mary
Mary works at Meta in Tokyo since 1989-04-17,ORG,Meta
Mary works at Meta in Tokyo since 1989-04-17,GPE,Tokyo
Meta announced new projects starting 2000-04-07,ORG,Meta
Microsoft announced new projects starting 1974-06-30,ORG,Microsoft
Amazon announced new projects starting 1984-11-12,ORG,Amazon
The meeting with Mary from Meta is scheduled for 2008-09-27,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2008-09-27,ORG,Meta
Tokyo will host the event in 2019-01-03,GPE,Tokyo
Sara works at Amazon in Tokyo since 1988-06-12,PERSON,Sara
Sara works at Amazon in Tokyo since 1988-06-12,ORG,Amazon
Sara works at Amazon in Tokyo since 1988-06-12,GPE,Tokyo
Sara works at Amazon in Tokyo since 2003-04-27,PERSON,Sara
Sara works at Amazon in Tokyo since 2003-04-27,ORG,Amazon
Sara works at Amazon in Tokyo since 2003-04-27,GPE,Tokyo
John attended a conference on 2000-11-14,PERSON,John
Sara attended a conference on 2003-05-28,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2001-02-05,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2001-02-05,ORG,Microsoft
Sara works at Meta in Tokyo since 1987-06-13,PERSON,Sara
Sara works at Meta in Tokyo since 1987-06-13,ORG,Meta
Sara works at Meta in Tokyo since 1987-06-13,GPE,Tokyo
Paris will host the event in 1980-11-22,GPE,Paris
John works at Meta in London since 1976-08-15,PERSON,John
John works at Meta in London since 1976-08-15,ORG,Meta
John works at Meta in London since 1976-08-15,GPE,London
The meeting with Sara from Microsoft is scheduled for 1970-10-18,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 1970-10-18,ORG,Microsoft
The meeting with Alex from Microsoft is scheduled for 2007-09-26,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 2007-09-26,ORG,Microsoft
Mary works at Meta in New York since 2016-07-22,PERSON,Mary
Mary works at Meta in New York since 2016-07-22,ORG,Meta
Tokyo will host the event in 2008-06-09,GPE,Tokyo
Google announced new projects starting 1990-12-11,ORG,Google
Mary works at Google in New York since 2017-11-22,PERSON,Mary
Mary works at Google in New York since 2017-11-22,ORG,Google
Tokyo will host the event in 1978-10-25,GPE,Tokyo
Sara works at Amazon in New York since 1972-03-25,PERSON,Sara
Sara works at Amazon in New York since 1972-03-25,ORG,Amazon
Sara works at Google in London since 1985-02-13,PERSON,Sara
Sara works at Google in London since 1985-02-13,ORG,Google
Sara works at Google in London since 1985-02-13,GPE,London
John works at Google in Paris since 1996-07-29,PERSON,John
John works at Google in Paris since 1996-07-29,ORG,Google
John works at Google in Paris since 1996-07-29,GPE,Paris
Microsoft announced new projects starting 1985-09-09,ORG,Microsoft
Sara works at Microsoft in London since 2021-08-20,PERSON,Sara
Sara works at Microsoft in London since 2021-08-20,ORG,Microsoft
Sara works at Microsoft in London since 2021-08-20,GPE,London
Sara works at Meta in New York since 1997-07-06,PERSON,Sara
Sara works at Meta in New York since 1997-07-06,ORG,Meta
Google announced new projects starting 1995-12-07,ORG,Google
Mary works at Google in Tokyo since 2011-12-05,PERSON,Mary
Mary works at Google in Tokyo since 2011-12-05,ORG,Google
Mary works at Google in Tokyo since 2011-12-05,GPE,Tokyo
The meeting with Mary from Amazon is scheduled for 2000-11-02,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2000-11-02,ORG,Amazon
Google announced new projects starting 2009-05-02,ORG,Google
The meeting with Alex from Google is scheduled for 2016-12-16,PERSON,Alex
The meeting with Alex from Google is scheduled for 2016-12-16,ORG,Google
The meeting with Sara from Google is scheduled for 1981-07-24,PERSON,Sara
The meeting with Sara from Google is scheduled for 1981-07-24,ORG,Google
Mary attended a conference on 1986-03-29,PERSON,Mary
John attended a conference on 1999-11-29,PERSON,John
The meeting with Mary from Meta is scheduled for 2014-12-14,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2014-12-14,ORG,Meta
Sara works at Microsoft in Tokyo since 2001-10-26,PERSON,Sara
Sara works at Microsoft in Tokyo since 2001-10-26,ORG,Microsoft
Sara works at Microsoft in Tokyo since 2001-10-26,GPE,Tokyo
The meeting with Alex from Meta is scheduled for 2024-11-30,PERSON,Alex
The meeting with Alex from Meta is scheduled for 2024-11-30,ORG,Meta
Alex works at Meta in New York since 1976-05-29,PERSON,Alex
Alex works at Meta in New York since 1976-05-29,ORG,Meta
John works at Meta in Paris since 2002-11-23,PERSON,John
John works at Meta in Paris since 2002-11-23,ORG,Meta
John works at Meta in Paris since 2002-11-23,GPE,Paris
The meeting with John from Google is scheduled for 1993-06-16,PERSON,John
The meeting with John from Google is scheduled for 1993-06-16,ORG,Google
Microsoft announced new projects starting 1974-10-24,ORG,Microsoft
Mary attended a conference on 2023-08-24,PERSON,Mary
Amazon announced new projects starting 1997-01-26,ORG,Amazon
John attended a conference on 1979-07-16,PERSON,John
Alex works at Microsoft in New York since 1982-01-28,PERSON,Alex
Alex works at Microsoft in New York since 1982-01-28,ORG,Microsoft
Mary works at Meta in Tokyo since 1993-12-18,PERSON,Mary
Mary works at Meta in Tokyo since 1993-12-18,ORG,Meta
Mary works at Meta in Tokyo since 1993-12-18,GPE,Tokyo
Meta announced new projects starting 1989-12-06,ORG,Meta
Paris will host the event in 1992-09-02,GPE,Paris
Mary works at Meta in New York since 2022-10-24,PERSON,Mary
Mary works at Meta in New York since 2022-10-24,ORG,Meta
John attended a conference on 2005-03-17,PERSON,John
Mary works at Amazon in London since 1996-11-22,PERSON,Mary
Mary works at Amazon in London since 1996-11-22,ORG,Amazon
Mary works at Amazon in London since 1996-11-22,GPE,London
Tokyo will host the event in 1991-11-03,GPE,Tokyo
Mary attended a conference on 2019-12-29,PERSON,Mary
The meeting with John from Amazon is scheduled for 1982-02-05,PERSON,John
The meeting with John from Amazon is scheduled for 1982-02-05,ORG,Amazon
The meeting with John from Amazon is scheduled for 2011-06-01,PERSON,John
The meeting with John from Amazon is scheduled for 2011-06-01,ORG,Amazon
Microsoft announced new projects starting 1989-04-21,ORG,Microsoft
The meeting with Alex from Amazon is scheduled for 2020-09-05,PERSON,Alex
The meeting with Alex from Amazon is scheduled for 2020-09-05,ORG,Amazon
Amazon announced new projects starting 2023-12-30,ORG,Amazon
Tokyo will host the event in 1978-11-25,GPE,Tokyo
Tokyo will host the event in 2010-01-23,GPE,Tokyo
Google announced new projects starting 1994-04-27,ORG,Google
Amazon announced new projects starting 1988-03-15,ORG,Amazon
Mary works at Amazon in London since 2017-04-07,PERSON,Mary
Mary works at Amazon in London since 2017-04-07,ORG,Amazon
Mary works at Amazon in London since 2017-04-07,GPE,London
London will host the event in 1977-08-27,GPE,London
John attended a conference on 2021-09-29,PERSON,John
Amazon announced new projects starting 1974-12-20,ORG,Amazon
Mary works at Meta in Paris since 1976-08-29,PERSON,Mary
Mary works at Meta in Paris since 1976-08-29,ORG,Meta
Mary works at Meta in Paris since 1976-08-29,GPE,Paris
London will host the event in 2011-08-22,GPE,London
Google announced new projects starting 2007-11-21,ORG,Google
The meeting with John from Meta is scheduled for 2022-10-11,PERSON,John
The meeting with John from Meta is scheduled for 2022-10-11,ORG,Meta
The meeting with John from Amazon is scheduled for 1999-12-15,PERSON,John
The meeting with John from Amazon is scheduled for 1999-12-15,ORG,Amazon
Amazon announced new projects starting 2022-07-24,ORG,Amazon
The meeting with Sara from Amazon is scheduled for 2017-03-03,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2017-03-03,ORG,Amazon
Meta announced new projects starting 2009-12-26,ORG,Meta
Tokyo will host the event in 1971-06-02,GPE,Tokyo
London will host the event in 2023-09-28,GPE,London
Amazon announced new projects starting 2023-05-27,ORG,Amazon
The meeting with John from Microsoft is scheduled for 1999-01-21,PERSON,John
The meeting with John from Microsoft is scheduled for 1999-01-21,ORG,Microsoft
Sara attended a conference on 2019-02-10,PERSON,Sara
Paris will host the event in 1999-07-13,GPE,Paris
The meeting with Sara from Microsoft is scheduled for 2016-07-20,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2016-07-20,ORG,Microsoft
The meeting with John from Amazon is scheduled for 2021-11-10,PERSON,John
The meeting with John from Amazon is scheduled for 2021-11-10,ORG,Amazon
Sara works at Microsoft in Tokyo since 2024-09-15,PERSON,Sara
Sara works at Microsoft in Tokyo since 2024-09-15,ORG,Microsoft
Sara works at Microsoft in Tokyo since 2024-09-15,GPE,Tokyo
Alex works at Meta in Paris since 1981-04-19,PERSON,Alex
Alex works at Meta in Paris since 1981-04-19,ORG,Meta
Alex works at Meta in Paris since 1981-04-19,GPE,Paris
The meeting with Alex from Meta is scheduled for 1970-02-19,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1970-02-19,ORG,Meta
The meeting with Mary from Microsoft is scheduled for 1974-05-28,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 1974-05-28,ORG,Microsoft
The meeting with Mary from Google is scheduled for 2021-01-12,PERSON,Mary
The meeting with Mary from Google is scheduled for 2021-01-12,ORG,Google
Alex works at Amazon in Tokyo since 2009-02-06,PERSON,Alex
Alex works at Amazon in Tokyo since 2009-02-06,ORG,Amazon
Alex works at Amazon in Tokyo since 2009-02-06,GPE,Tokyo
Amazon announced new projects starting 1987-03-01,ORG,Amazon
Mary attended a conference on 1987-01-13,PERSON,Mary
Alex attended a conference on 1974-08-15,PERSON,Alex
Amazon announced new projects starting 2012-03-12,ORG,Amazon
London will host the event in 1982-02-12,GPE,London
Mary attended a conference on 1970-12-29,PERSON,Mary
Amazon announced new projects starting 1998-10-01,ORG,Amazon
The meeting with John from Meta is scheduled for 2010-02-28,PERSON,John
The meeting with John from Meta is scheduled for 2010-02-28,ORG,Meta
John works at Meta in London since 1998-10-09,PERSON,John
John works at Meta in London since 1998-10-09,ORG,Meta
John works at Meta in London since 1998-10-09,GPE,London
The meeting with Mary from Meta is scheduled for 1983-09-29,PERSON,Mary
The meeting with Mary from Meta is scheduled for 1983-09-29,ORG,Meta
Tokyo will host the event in 1982-10-17,GPE,Tokyo
Paris will host the event in 2000-09-08,GPE,Paris
Alex attended a conference on 2003-11-12,PERSON,Alex
Paris will host the event in 1998-04-28,GPE,Paris
Amazon announced new projects starting 2009-09-12,ORG,Amazon
Paris will host the event in 1990-05-26,GPE,Paris
Mary works at Meta in Tokyo since 2021-02-27,PERSON,Mary
Mary works at Meta in Tokyo since 2021-02-27,ORG,Meta
Mary works at Meta in Tokyo since 2021-02-27,GPE,Tokyo
The meeting with Mary from Meta is scheduled for 2006-02-28,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2006-02-28,ORG,Meta
Sara attended a conference on 1986-09-14,PERSON,Sara
Amazon announced new projects starting 2023-09-30,ORG,Amazon
Meta announced new projects starting 2007-11-24,ORG,Meta
Mary works at Meta in New York since 1981-12-30,PERSON,Mary
Mary works at Meta in New York since 1981-12-30,ORG,Meta
Alex works at Microsoft in Tokyo since 2004-10-11,PERSON,Alex
Alex works at Microsoft in Tokyo since 2004-10-11,ORG,Microsoft
Alex works at Microsoft in Tokyo since 2004-10-11,GPE,Tokyo
Alex attended a conference on 1992-02-12,PERSON,Alex
Alex works at Microsoft in Paris since 1978-09-18,PERSON,Alex
Alex works at Microsoft in Paris since 1978-09-18,ORG,Microsoft
Alex works at Microsoft in Paris since 1978-09-18,GPE,Paris
Mary works at Meta in Tokyo since 2019-10-11,PERSON,Mary
Mary works at Meta in Tokyo since 2019-10-11,ORG,Meta
Mary works at Meta in Tokyo since 2019-10-11,GPE,Tokyo
Microsoft announced new projects starting 1979-03-25,ORG,Microsoft
Alex works at Google in New York since 1979-09-20,PERSON,Alex
Alex works at Google in New York since 1979-09-20,ORG,Google
Mary attended a conference on 1985-10-26,PERSON,Mary
London will host the event in 2022-03-07,GPE,London
The meeting with Sara from Amazon is scheduled for 2021-06-17,PERSON,Sara
The meeting with Sara from Amazon is scheduled for 2021-06-17,ORG,Amazon
The meeting with Mary from Meta is scheduled for 1984-09-29,PERSON,Mary
The meeting with Mary from Meta is scheduled for 1984-09-29,ORG,Meta
The meeting with Alex from Microsoft is scheduled for 1993-06-12,PERSON,Alex
The meeting with Alex from Microsoft is scheduled for 1993-06-12,ORG,Microsoft
The meeting with Mary from Google is scheduled for 1995-12-30,PERSON,Mary
The meeting with Mary from Google is scheduled for 1995-12-30,ORG,Google
John attended a conference on 2018-02-16,PERSON,John
Meta announced new projects starting 1984-01-14,ORG,Meta
The meeting with Mary from Amazon is scheduled for 2004-07-22,PERSON,Mary
The meeting with Mary from Amazon is scheduled for 2004-07-22,ORG,Amazon
Microsoft announced new projects starting 1980-11-21,ORG,Microsoft
Alex attended a conference on 2006-12-19,PERSON,Alex
Paris will host the event in 2022-01-06,GPE,Paris
Tokyo will host the event in 2008-10-22,GPE,Tokyo
Alex attended a conference on 2017-07-19,PERSON,Alex
Mary works at Microsoft in Tokyo since 1992-03-04,PERSON,Mary
Mary works at Microsoft in Tokyo since 1992-03-04,ORG,Microsoft
Mary works at Microsoft in Tokyo since 1992-03-04,GPE,Tokyo
The meeting with Sara from Google is scheduled for 1989-04-13,PERSON,Sara
The meeting with Sara from Google is scheduled for 1989-04-13,ORG,Google
Google announced new projects starting 2001-11-24,ORG,Google
Tokyo will host the event in 1970-08-06,GPE,Tokyo
Mary attended a conference on 1979-04-03,PERSON,Mary
Mary works at Amazon in Paris since 2018-06-21,PERSON,Mary
Mary works at Amazon in Paris since 2018-06-21,ORG,Amazon
Mary works at Amazon in Paris since 2018-06-21,GPE,Paris
Microsoft announced new projects starting 2006-02-11,ORG,Microsoft
Google announced new projects starting 2018-08-07,ORG,Google
Meta announced new projects starting 1980-07-26,ORG,Meta
Microsoft announced new projects starting 1984-07-28,ORG,Microsoft
The meeting with Sara from Google is scheduled for 1970-04-20,PERSON,Sara
The meeting with Sara from Google is scheduled for 1970-04-20,ORG,Google
Sara attended a conference on 2003-03-13,PERSON,Sara
Meta announced new projects starting 2020-04-28,ORG,Meta
Meta announced new projects starting 2021-06-09,ORG,Meta
Tokyo will host the event in 2021-06-15,GPE,Tokyo
Mary works at Google in Tokyo since 1992-08-10,PERSON,Mary
Mary works at Google in Tokyo since 1992-08-10,ORG,Google
Mary works at Google in Tokyo since 1992-08-10,GPE,Tokyo
Tokyo will host the event in 1987-11-06,GPE,Tokyo
Amazon announced new projects starting 1987-08-25,ORG,Amazon
Sara works at Amazon in New York since 2008-04-08,PERSON,Sara
Sara works at Amazon in New York since 2008-04-08,ORG,Amazon
John works at Amazon in Tokyo since 2006-10-19,PERSON,John
John works at Amazon in Tokyo since 2006-10-19,ORG,Amazon
John works at Amazon in Tokyo since 2006-10-19,GPE,Tokyo
Microsoft announced new projects starting 2013-03-23,ORG,Microsoft
John attended a conference on 2010-09-24,PERSON,John
Meta announced new projects starting 1989-07-20,ORG,Meta
Mary attended a conference on 1994-09-11,PERSON,Mary
London will host the event in 1989-02-19,GPE,London
Alex attended a conference on 1984-12-17,PERSON,Alex
Tokyo will host the event in 1995-06-17,GPE,Tokyo
Paris will host the event in 1998-06-21,GPE,Paris
The meeting with Alex from Meta is scheduled for 1971-08-06,PERSON,Alex
The meeting with Alex from Meta is scheduled for 1971-08-06,ORG,Meta
John attended a conference on 1985-10-28,PERSON,John
Paris will host the event in 2011-10-31,GPE,Paris
Google announced new projects starting 1972-02-09,ORG,Google
Microsoft announced new projects starting 1982-06-18,ORG,Microsoft
Mary attended a conference on 2014-06-17,PERSON,Mary
Google announced new projects starting 1989-03-08,ORG,Google
The meeting with John from Microsoft is scheduled for 1986-11-23,PERSON,John
The meeting with John from Microsoft is scheduled for 1986-11-23,ORG,Microsoft
Google announced new projects starting 2017-05-02,ORG,Google
Amazon announced new projects starting 2024-09-12,ORG,Amazon
Mary attended a conference on 1990-04-05,PERSON,Mary
Sara attended a conference on 2005-05-17,PERSON,Sara
The meeting with Mary from Microsoft is scheduled for 2024-06-30,PERSON,Mary
The meeting with Mary from Microsoft is scheduled for 2024-06-30,ORG,Microsoft
Alex attended a conference on 1993-03-09,PERSON,Alex
Meta announced new projects starting 2024-03-15,ORG,Meta
John works at Meta in Paris since 2012-05-31,PERSON,John
John works at Meta in Paris since 2012-05-31,ORG,Meta
John works at Meta in Paris since 2012-05-31,GPE,Paris
The meeting with Sara from Meta is scheduled for 2000-04-01,PERSON,Sara
The meeting with Sara from Meta is scheduled for 2000-04-01,ORG,Meta
The meeting with John from Amazon is scheduled for 2017-03-29,PERSON,John
The meeting with John from Amazon is scheduled for 2017-03-29,ORG,Amazon
Sara attended a conference on 2004-10-11,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2013-09-03,PERSON,Sara
The meeting with Sara from Microsoft is scheduled for 2013-09-03,ORG,Microsoft
Alex attended a conference on 2009-03-18,PERSON,Alex
The meeting with Mary from Meta is scheduled for 2015-07-16,PERSON,Mary
The meeting with Mary from Meta is scheduled for 2015-07-16,ORG,Meta
Google announced new projects starting 1991-05-31,ORG,Google
John attended a conference on 1990-09-25,PERSON,John
